O que o consumidor deve fazer se o fornecedor executar um serviço sem sua autorização prévia?,"O consumidor não é obrigado a pagar, pois o fornecedor deve fornecer um orçamento prévio para aprovação."
A venda de produtos ou serviços sem as especificações legais exigidas por agências reguladoras é uma prática que viola a _____ e _____ dos consumidores.,"segurança, saúde"
O que é o 'spread' bancário?,É a diferença entre a taxa de juros que os bancos pagam para captar recursos e a taxa que cobram em empréstimos.
"Qual é a definição de curto prazo, médio prazo e longo prazo, segundo a escala sugerida para planos familiares?",Curto prazo: 1 a 2 anos; médio prazo: 3 a 9 anos; longo prazo: acima de 10 anos.
O que significa 'exportação' no contexto do comércio internacional?,É a venda de produtos ou serviços produzidos em um país para usuários residentes no exterior.
O que significa 'importação' no contexto do comércio internacional?,É a compra de produtos ou serviços feitos no estrangeiro para serem consumidos no país.
O que é a Defensoria Pública e a quem ela presta assistência?,Presta assistência e orientação jurídica aos consumidores que não têm condições de pagar por um advogado.
O que o consumidor deve fazer ao formalizar uma reclamação junto ao fornecedor para ter comprovação?,"Deve formalizar a reclamação por escrito (e-mail, carta registrada) e obter o número de protocolo do atendimento."
Qual é o primeiro passo para cortar despesas de forma eficaz?,"Estabelecer uma meta de quanto dinheiro precisa ser cortado e, em seguida, listar e categorizar todas as despesas atuais."
"De acordo com a pesquisa GEM citada, qual área o Brasil precisa melhorar em relação ao empreendedorismo?","Precisa melhorar em inovação, pois poucos empreendedores afirmam que seus produtos são novos para os clientes."
"Qual é a principal função do Comitê de Regulação e Fiscalização dos Mercados Financeiro, de Capitais, de Seguros, de Previdência e Capitalização (COREMEC)?",Promover a coordenação e o aprimoramento da atuação das entidades federais que regulam e fiscalizam a captação de poupança popular.
O que significa a sigla CDC?,Código de Defesa do Consumidor.
"Para formalizar uma reclamação sobre serviços financeiros não resolvida pelo banco, qual é o próximo passo antes de procurar o PROCON?","Levar a demanda à ouvidoria da instituição financeira e, se não resolvida, ao Banco Central."
"O Decreto do SAC (Nº 6.523/2008) estabelece que o pedido de cancelamento de um serviço, como cartão de crédito, deve ser processado _____.",imediatamente
Em que situação a balança comercial de um país é considerada deficitária?,Quando o valor das importações é maior que o valor das exportações.
